Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.39,-.55,-.24,-.32,-.06,-.19,-.24,-.28,-.27,-.32,-.46,-.43,-.31,***,***,-.21,-.24,-.35
1881,-.32,-.27,-.07,-.04,.03,-.35,.07,-.07,-.29,-.46,-.39,-.26,-.20,-.22,-.34,-.03,-.12,-.38
1882,.24,.19,.00,-.32,-.25,-.31,-.30,-.17,-.27,-.53,-.35,-.70,-.23,-.19,.06,-.19,-.26,-.38
1883,-.59,-.67,-.16,-.31,-.27,-.13,-.07,-.24,-.35,-.17,-.45,-.16,-.30,-.34,-.65,-.25,-.15,-.33
1884,-.17,-.12,-.65,-.61,-.37,-.43,-.42,-.53,-.46,-.46,-.59,-.48,-.44,-.41,-.15,-.54,-.46,-.50
1885,-1.01,-.47,-.25,-.50,-.59,-.46,-.35,-.42,-.40,-.37,-.39,-.13,-.45,-.47,-.65,-.45,-.41,-.39
1886,-.75,-.84,-.72,-.38,-.34,-.38,-.16,-.44,-.34,-.32,-.41,-.22,-.44,-.44,-.57,-.48,-.33,-.36
1887,-1.09,-.71,-.45,-.39,-.27,-.22,-.26,-.56,-.22,-.50,-.28,-.44,-.45,-.43,-.67,-.37,-.35,-.33
1888,-.50,-.62,-.65,-.23,-.16,-.04,-.01,-.22,-.20,-.04,-.02,-.25,-.24,-.26,-.52,-.34,-.09,-.09
1889,-.29,.28,-.03,.15,-.05,-.08,-.09,-.22,-.31,-.42,-.63,-.55,-.19,-.16,-.08,.02,-.13,-.45
1890,-.64,-.58,-.48,-.26,-.37,-.17,-.25,-.41,-.36,-.11,-.64,-.49,-.40,-.40,-.59,-.37,-.27,-.37
1891,-.47,-.68,-.17,-.36,-.16,-.14,-.13,-.14,-.09,-.29,-.54,-.03,-.27,-.31,-.55,-.23,-.14,-.31
1892,-.51,-.19,-.67,-.46,-.24,-.06,-.39,-.34,-.22,-.28,-.83,-.68,-.41,-.35,-.24,-.46,-.26,-.44
1893,-1.52,-.97,-.33,-.31,-.44,-.19,-.15,-.36,-.30,-.29,-.35,-.62,-.49,-.49,-1.06,-.36,-.23,-.31
1894,-.93,-.43,-.22,-.55,-.27,-.42,-.22,-.28,-.33,-.29,-.49,-.37,-.40,-.42,-.66,-.35,-.31,-.37
1895,-.71,-.82,-.51,-.20,-.32,-.22,-.20,-.29,-.07,-.10,-.14,-.25,-.32,-.33,-.63,-.34,-.24,-.11
1896,-.38,-.20,-.51,-.62,-.18,.06,-.01,-.13,-.14,.03,-.22,-.23,-.21,-.21,-.27,-.44,-.03,-.11
1897,-.42,-.43,-.41,-.07,.11,-.07,.03,-.08,-.07,-.17,-.27,-.31,-.18,-.17,-.36,-.12,-.04,-.17
1898,.03,-.46,-.81,-.29,-.30,-.10,-.13,-.20,-.19,-.38,-.52,-.28,-.30,-.31,-.25,-.47,-.14,-.36
1899,-.15,-.66,-.61,-.24,-.26,-.37,-.18,-.08,-.06,.03,.34,-.49,-.23,-.21,-.36,-.37,-.21,.10
